ID,Data Bytes
0000061F,FF 3F 00 00 00 00 00 00 
0000061F,FF 3F 00 00 00 00 00 00 
0000061F,FF 3F 00 00 00 00 00 00 
0000061F,FF 3F 00 00 00 00 00 00 
0000061F,FF 3F 00 00 00 00 00 00 
0000061F,FF 3F 00 00 00 00 00 00 
0000061F,FF 3F 00 00 00 00 00 00 
0000061F,FF 3F 00 00 00 00 00 00 
0000061F,FF 3F 00 00 00 00 00 00 
0000061F,FF 3F 00 00 00 00 00 00 
0000061F,FF 3F 00 00 00 00 00 00 
0000061F,FF 3F 00 00 00 00 00 00 
0000061F,FF 3F 00 00 00 00 00 00 
0000061F,7F 00 00 00 00 00 00 00 
0000061F,00 3F 00 00 00 00 00 00 
0000061A,C7 15 90 F7 BF 06 02 02 
0000061F,00 3F 09 00 00 00 00 00 
0000061F,00 3F 0B 00 00 00 00 00 
0000061A,C7 15 90 F7 BF 06 02 02 
0000061A,C7 15 90 F7 BF 06 02 02 
00000153,C4 51 00 00 00 FF 00 90 
000001F3,00 80 00 0B 02 80 00 00 
000001F8,00 00 00 00 FE FF 00 00 
000001F0,0A 40 0A 00 0A 00 0A 00 
00000153,C4 51 00 00 00 FF 00 90 
000001F3,00 80 00 0A 02 80 00 00 
000001F8,00 00 00 00 FE FF 00 00 
000001F0,0A 60 0A 00 0A 00 0A 00 
00000501,00 66 00 00 0A 00 0A 00 
00000153,C4 51 00 00 00 FF 00 90 
000001F3,00 80 00 0A 02 80 00 00 
000001F8,00 00 00 00 FE FF 00 00 
000001F0,0A 00 0A 00 0A 00 0A 00 
0000061F,00 3F 0B 56 42 00 00 00 
00000153,C4 51 00 00 00 FF 00 90 
000001F3,00 80 00 0A 02 80 00 00 
000001F8,00 00 00 00 FE FF 00 00 
000001F0,0A 20 0A 00 0A 00 0A 00 
00000153,C4 51 00 00 00 FF 00 90 
000001F3,00 80 00 09 02 80 00 00 
000001F8,00 00 00 00 FE FF 00 00 
000001F0,0A 40 0A 00 0A 00 0A 00 
00000153,C4 51 00 00 00 FF 00 90 
000001F3,00 80 00 09 02 80 00 00 
000001F8,00 00 00 00 FE FF 00 00 
000001F0,0A 60 0A 00 0A 00 0A 00 
00000153,C4 51 00 00 00 FF 00 90 
000001F3,00 80 00 09 02 80 00 00 
000001F8,00 00 00 00 FE FF 00 00 
000001F0,0A 00 0A 00 0A 00 0A 00 
00000153,C4 51 00 00 00 FF 00 90 
000001F3,00 80 00 09 02 80 00 00 
000001F8,00 00 00 00 FE FF 00 00 
000001F0,0A 20 0A 00 0A 00 0A 00 
00000153,C4 51 00 00 00 FF 00 90 
000001F3,00 80 00 08 02 80 00 00 
000001F8,00 00 00 00 FE FF 00 00 
000001F0,0A 40 0A 00 0A 00 0A 00 
00000153,C4 51 00 00 00 FF 00 90 
000001F3,00 80 00 08 02 80 00 00 
000001F8,00 00 00 00 FE FF 00 00 
000001F0,0A 60 0A 00 0A 00 0A 00 
00000153,C4 51 00 00 00 FF 00 90 
000001F3,00 80 00 08 02 80 00 00 
000001F8,00 00 00 00 FE FF 00 00 
000001F0,0A 00 0A 00 0A 00 0A 00 
00000153,C4 51 00 00 00 FF 00 90 
000001F3,00 80 00 08 02 80 00 00 
000001F8,00 00 00 00 FE FF 00 00 
000001F0,0A 20 0A 00 0A 00 0A 00 
00000153,C4 51 00 00 00 FF 00 90 
000001F3,00 80 00 07 02 80 00 00 
000001F5,40 00 00 00 80 31 00 00 
000001F0,0A 40 0A 00 0A 00 0A 00 
